,Location,Total sqft,price,bedrooms
886,Andheri West,651,2000000.0,1.0
887,Andheri West,651,2000000.0,1.0
890,Bhandup West,575,9700000.0,1.0
891,Andheri West,651,2000000.0,1.0
892,Andheri West,651,2000000.0,1.0
893,Andheri West,651,2000000.0,1.0
895,Andheri West,651,2000000.0,1.0
897,Andheri West,651,2000000.0,1.0
899,Andheri West,651,2000000.0,1.0
901,Badlapur East,640,3000000.0,1.0
902,Badlapur East,640,3000000.0,1.0
904,Andheri West,651,2000000.0,1.0
905,Andheri West,651,2000000.0,1.0
907,Andheri West,651,2000000.0,1.0
908,Karanjade,600,3225000.0,1.0
909,Dombivali East,560,5000000.0,1.0
910,Thakurli,673,5200000.0,1.0
911,Panvel,850,3800000.0,2.0
914,Kamothe,450,3100000.0,1.0
915,Andheri West,651,2000000.0,1.0
916,Andheri West,650,2000000.0,1.0
917,Mulund West,880,18500000.0,3.0
918,Andheri West,651,2000000.0,1.0
919,Andheri West,651,2000000.0,1.0
921,Andheri West,651,2000000.0,1.0
923,Andheri West,651,2000000.0,1.0
927,Andheri West,651,2000000.0,1.0
930,Andheri West,651,2000000.0,1.0
931,other,815,8000000.0,2.0
932,Badlapur East,640,3000000.0,1.0
933,Andheri West,651,2000000.0,1.0
934,Andheri West,651,2000000.0,1.0
936,Andheri West,651,2000000.0,1.0
937,Palghar,860,3800000.0,2.0
938,Andheri West,651,2000000.0,1.0
939,Andheri West,651,2000000.0,1.0
942,Andheri West,651,2000000.0,1.0
943,other,815,8000000.0,2.0
944,Badlapur East,640,3000000.0,1.0
945,Andheri West,651,2000000.0,1.0
946,Andheri West,651,2000000.0,1.0
948,Andheri West,651,2000000.0,1.0
949,Palghar,860,3800000.0,2.0
950,Andheri West,651,2000000.0,1.0
951,Andheri West,651,2000000.0,1.0
952,Andheri West,651,2000000.0,1.0
954,Andheri West,651,2000000.0,1.0
955,Andheri West,651,2000000.0,1.0
957,Andheri West,651,2000000.0,1.0
960,Andheri West,651,2000000.0,1.0
961,other,3000,20000000.0,2.0
962,other,2000,17500000.0,3.0
964,Andheri West,651,2000000.0,1.0
965,Andheri West,651,2000000.0,1.0
970,Andheri West,651,2000000.0,1.0
972,Andheri West,651,2000000.0,1.0
973,Karanjade,600,3225000.0,1.0
974,Dombivali East,560,5000000.0,1.0
975,Thakurli,673,5200000.0,1.0
976,Panvel,850,3800000.0,2.0
978,Andheri West,611,10000000.0,1.0
979,Koper Khairane,840,9500000.0,2.0
981,Andheri West,651,2000000.0,1.0
982,Andheri West,651,2000000.0,1.0
983,Andheri West,651,2000000.0,1.0
984,Prabhadevi,1925,90000000.0,3.0
985,Diva Gaon,590,1652000.0,1.0
986,Diva Gaon,350,980000.0000000001,1.0
987,Diva Gaon,350,980000.0000000001,1.0
988,Diva Gaon,430,1204000.0,1.0
989,Diva Gaon,590,1652000.0,1.0
990,Diva Gaon,430,1204000.0,1.0
991,Diva Gaon,510,1428000.0,1.0
992,Diva Gaon,590,1652000.0,1.0
993,Diva Gaon,350,980000.0000000001,1.0
994,Diva Gaon,350,980000.0000000001,1.0
995,Diva Gaon,465,1302000.0,1.0
996,Diva Gaon,430,1204000.0,1.0
997,Diva Gaon,350,980000.0000000001,1.0
998,other,465,1395000.0,1.0
999,Diva Gaon,465,1395000.0,1.0
1000,Titwala,800,3200000.0,2.0
1001,Andheri West,651,2000000.0,1.0
1004,other,700,16500000.0,2.0
1005,Andheri West,650,2000000.0,1.0
1008,Andheri East,650,17500000.0,2.0
1009,Malad East,1300,29500000.0,3.0
1010,Diva Gaon,350,980000.0000000001,1.0
1011,Thane West,1350,10000000.0,3.0
1013,Girgaon,2200,39500000.0,4.0
1014,Andheri West,651,2000000.0,1.0
1015,Andheri West,651,2000000.0,1.0
1016,Andheri West,651,2000000.0,1.0
1019,Andheri West,651,2000000.0,1.0
1020,Kurla,780,9400000.0,1.0
1021,Santacruz West,1400,62500000.0,3.0
1022,other,410,6998999.999999999,1.0
1023,Powai,1050,17000000.0,2.0
1024,other,500,2045000.0,1.0
1025,Panvel,1024,9500000.0,2.0
1026,Andheri West,540,12600000.0,1.0
1027,Panvel,1200,9500000.0,2.0
1028,Dombivli (West),712,4272000.0,1.0
1029,Thane West,665,7200000.0,2.0
1030,Ghatkopar West,1000,13500000.0,2.0
1031,Kalamboli,1975,14800000.0,3.0
1032,Andheri West,651,2000000.0,1.0
1034,Andheri West,651,2000000.0,1.0
1035,Andheri West,651,2000000.0,1.0
1036,Virar,510,3600000.0,1.0
1037,Bhayandar West,760,9000000.0,1.0
1038,Panvel,2500,15000000.0,4.0
1039,Andheri West,651,2000000.0,1.0
1040,Boisar,670,2800000.0,2.0
1042,Titwala,800,3200000.0,2.0
1043,Kalyan West,650,4100000.0,1.0
1045,Ambernath East,600,2400000.0,1.0
1048,Andheri West,651,2000000.0,1.0
1049,Andheri West,651,2000000.0,1.0
1050,Andheri West,650,2000000.0,1.0
1053,Andheri West,650,2000000.0,1.0
1055,Dombivali,1075,5100000.0,2.0
1058,Andheri West,651,2000000.0,1.0
1059,Andheri West,651,2000000.0,1.0
1060,Andheri West,651,2000000.0,1.0
1061,Andheri West,651,2000000.0,1.0
1062,Andheri West,651,2000000.0,1.0
1063,Andheri West,651,2000000.0,1.0
1066,Andheri West,651,2000000.0,1.0
1067,Santacruz East,1150,26100000.0,2.0
1068,Andheri West,651,2000000.0,1.0
1069,Andheri West,651,2000000.0,1.0
1070,Ambernath East,593,2457000.0,1.0
1071,Ambernath West,665,2785000.0,1.0
1072,other,1055,6013000.0,2.0
1075,Andheri West,651,2000000.0,1.0
1079,Badlapur East,1150,6200000.0,2.0
1081,Andheri West,651,2000000.0,1.0
1083,Ulwe,670,4950000.0,1.0
1084,Andheri West,651,2000000.0,1.0
1086,Andheri West,651,2000000.0,1.0
1087,Andheri West,651,2000000.0,1.0
1088,Andheri West,650,2000000.0,1.0
1089,other,1600,59000000.0,3.0
1090,Andheri West,651,2000000.0,1.0
1091,Andheri West,650,2000000.0,1.0
1092,Dombivali,800,3750000.0,2.0
1093,Andheri West,651,2000000.0,1.0
1098,Badlapur West,640,2250000.0,1.0
1099,Dombivli (West),545,3050000.0,1.0
1101,Andheri West,675,4700000.0,2.0
1103,Andheri West,651,2000000.0,1.0
1105,Andheri West,651,2000000.0,1.0
1106,Andheri West,651,2000000.0,1.0
1110,Andheri West,651,2000000.0,1.0
1111,Neral,450,1390000.0,1.0
1112,Neral,450,1390000.0,1.0
1113,Neral,450,1390000.0,1.0
1114,Neral,450,1390000.0,1.0
1115,Andheri West,651,2000000.0,1.0
1120,Andheri West,2016,77000000.0,4.0
1121,other,1500,30000000.0,3.0
1122,Andheri East,950,18000000.0,2.0
1123,Ghatkopar East,580,13000000.0,2.0
1124,Saphale,580,1770000.0,1.0
1125,Ulwe,635,2800000.0,1.0
1127,Andheri West,651,2000000.0,1.0
1129,Andheri West,651,2000000.0,1.0
1130,Andheri West,651,2000000.0,1.0
1134,Andheri West,651,2000000.0,1.0
1135,Neral,450,1390000.0,1.0
1136,Neral,450,1390000.0,1.0
1137,Neral,450,1390000.0,1.0
1138,Neral,450,1390000.0,1.0
1139,Andheri West,651,2000000.0,1.0
1144,Andheri West,651,2000000.0,1.0
1145,Andheri West,651,2000000.0,1.0
1146,Koper Khairane,653,15000000.0,2.0
1147,Koper Khairane,653,15000000.0,2.0
1148,Koper Khairane,653,15000000.0,2.0
1151,Powai,850,16500000.0,1.0
1153,Andheri West,675,4700000.0,2.0
1154,Andheri West,651,2000000.0,1.0
1156,Andheri West,651,2000000.0,1.0
1157,Andheri West,651,2000000.0,1.0
1159,Andheri West,651,2000000.0,1.0
1160,Andheri West,651,2000000.0,1.0
1161,Santacruz East,1150,26100000.0,2.0
1162,Andheri West,651,2000000.0,1.0
1163,Andheri West,651,2000000.0,1.0
1164,Ambernath East,593,2457000.0,1.0
1165,Ambernath West,665,2785000.0,1.0
1166,other,1055,6013000.0,2.0
1169,Andheri West,651,2000000.0,1.0
1173,Badlapur East,1150,6200000.0,2.0
1175,Andheri West,651,2000000.0,1.0
1177,Santacruz West,560,16000000.0,1.0
1181,Andheri West,651,2000000.0,1.0
1182,Borivali West,1080,25000000.0,3.0
1183,Taloja,750,3600000.0,1.0
1185,Virar,1100,7500000.0,2.0
1186,Kharghar,610,2500000.0,1.0
1187,Andheri West,650,2000000.0,1.0
1188,Belapur,720,9000000.0,2.0
1189,Byculla,1400,50000000.0,2.0
1190,Juhu,2400,190000000.0,4.0
1191,Kalyan West,1368,11000000.0,3.0
1192,Andheri West,540,12800000.0,1.0
1193,Andheri West,650,2000000.0,1.0
1194,other,1600,59000000.0,3.0
1195,Andheri West,651,2000000.0,1.0
1196,Andheri West,650,2000000.0,1.0
1197,Dombivali,800,3750000.0,2.0
1198,Andheri West,651,2000000.0,1.0
1200,Andheri West,651,2000000.0,1.0
1202,Andheri West,651,2000000.0,1.0
1203,Andheri West,651,2000000.0,1.0
1205,Andheri West,651,2000000.0,1.0
1206,Andheri West,651,2000000.0,1.0
1207,Andheri West,651,2000000.0,1.0
1208,Andheri West,651,2000000.0,1.0
1209,Andheri West,650,2000000.0,1.0
1210,Andheri West,651,2000000.0,1.0
1212,Andheri West,651,2000000.0,1.0
1213,Andheri West,651,2000000.0,1.0
1215,Andheri West,651,2000000.0,1.0
1216,Andheri West,651,2000000.0,1.0
1218,Andheri West,651,2000000.0,1.0
1221,other,775,2700000.0,2.0
1222,Kandivali East,1111,11100000.000000002,1.0
1223,Dombivali,675,4800000.0,1.0
1224,Taloja,600,2300000.0,1.0
1225,Taloja,850,3360000.0,2.0
1227,other,405,14100000.0,1.0
1228,Kalyan West,760,4000000.0,1.0
1229,other,415,1350000.0,1.0
1230,other,1000,25000000.0,2.0
1231,other,625,2800000.0,1.0
1232,Panvel,636,2700000.0,1.0
1233,Ambernath East,675,2700000.0,1.0
1235,Kandivali East,900,19500000.0,2.0
1236,Dombivali,550,5200000.0,1.0
1237,Kandivali West,1650,32100000.0,3.0
1238,other,650,2900000.0,1.0
1239,Goregaon East,12600,300000000.0,1.0
1241,Andheri West,651,2000000.0,1.0
1244,Andheri West,651,2000000.0,1.0
1246,Andheri West,651,2000000.0,1.0
1247,Andheri West,651,2000000.0,1.0
1249,Andheri West,651,2000000.0,1.0
1251,Andheri West,651,2000000.0,1.0
1254,Andheri West,651,2000000.0,1.0
1255,Andheri West,651,2000000.0,1.0
1256,Andheri West,651,2000000.0,1.0
1257,Andheri West,651,2000000.0,1.0
1259,Andheri West,651,2000000.0,1.0
1260,Andheri West,651,2000000.0,1.0
1262,Andheri West,651,2000000.0,1.0
1265,Andheri West,651,2000000.0,1.0
1266,Andheri West,651,2000000.0,1.0
1267,Andheri West,651,2000000.0,1.0
1268,Andheri West,651,2000000.0,1.0
1270,Andheri West,651,2000000.0,1.0
1271,Andheri West,651,2000000.0,1.0
1272,Andheri West,651,2000000.0,1.0
1274,Andheri West,651,2000000.0,1.0
1276,Andheri West,651,2000000.0,1.0
1278,Andheri West,651,2000000.0,1.0
1280,Andheri West,651,2000000.0,1.0
1285,Badlapur West,640,2250000.0,1.0
1287,Thane West,1000,12000000.0,4.0
